experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.786,False
baseline_rgb,rgb,gaussian_noise,2,0.5863,False
baseline_rgb,rgb,gaussian_noise,3,0.3853,False
baseline_rgb,rgb,gaussian_noise,4,0.3156,False
baseline_rgb,rgb,gaussian_noise,5,0.2702,False
baseline_rgb,rgb,shot_noise,1,0.8523,False
baseline_rgb,rgb,shot_noise,2,0.7606,False
baseline_rgb,rgb,shot_noise,3,0.536,False
baseline_rgb,rgb,shot_noise,4,0.4465,False
baseline_rgb,rgb,shot_noise,5,0.3309,False
baseline_rgb,rgb,impulse_noise,1,0.8536,False
baseline_rgb,rgb,impulse_noise,2,0.7464,False
baseline_rgb,rgb,impulse_noise,3,0.6464,False
baseline_rgb,rgb,impulse_noise,4,0.4157,False
baseline_rgb,rgb,impulse_noise,5,0.2415,False
baseline_rgb,rgb,speckle_noise,1,0.846,False
baseline_rgb,rgb,speckle_noise,2,0.7087,False
baseline_rgb,rgb,speckle_noise,3,0.6371,False
baseline_rgb,rgb,speckle_noise,4,0.4915,False
baseline_rgb,rgb,speckle_noise,5,0.3827,False
baseline_rgb,rgb,defocus_blur,1,0.9216,False
baseline_rgb,rgb,defocus_blur,2,0.9015,False
baseline_rgb,rgb,defocus_blur,3,0.8457,False
baseline_rgb,rgb,defocus_blur,4,0.7321,False
baseline_rgb,rgb,defocus_blur,5,0.5113,False
baseline_rgb,rgb,glass_blur,1,0.5168,False
baseline_rgb,rgb,glass_blur,2,0.5365,False
baseline_rgb,rgb,glass_blur,3,0.5818,False
baseline_rgb,rgb,glass_blur,4,0.4235,False
baseline_rgb,rgb,glass_blur,5,0.4627,False
baseline_rgb,rgb,motion_blur,1,0.8672,False
baseline_rgb,rgb,motion_blur,2,0.7766,False
baseline_rgb,rgb,motion_blur,3,0.6828,False
baseline_rgb,rgb,motion_blur,4,0.6896,False
baseline_rgb,rgb,motion_blur,5,0.6015,False
baseline_rgb,rgb,zoom_blur,1,0.8288,False
baseline_rgb,rgb,zoom_blur,2,0.8018,False
baseline_rgb,rgb,zoom_blur,3,0.7378,False
baseline_rgb,rgb,zoom_blur,4,0.6878,False
baseline_rgb,rgb,zoom_blur,5,0.5908,False
baseline_rgb,rgb,gaussian_blur,1,0.9212,False
baseline_rgb,rgb,gaussian_blur,2,0.8424,False
baseline_rgb,rgb,gaussian_blur,3,0.7201,False
baseline_rgb,rgb,gaussian_blur,4,0.5722,False
baseline_rgb,rgb,gaussian_blur,5,0.3542,False
baseline_rgb,rgb,snow,1,0.8658,False
baseline_rgb,rgb,snow,2,0.7484,False
baseline_rgb,rgb,snow,3,0.7862,False
baseline_rgb,rgb,snow,4,0.7558,False
baseline_rgb,rgb,snow,5,0.7046,False
baseline_rgb,rgb,frost,1,0.8806,False
