experiment,colorspace,corruption,severity,accuracy,luminosity
baseline_rgb,rgb,gaussian_noise,1,0.816,False
baseline_rgb,rgb,gaussian_noise,2,0.6692,False
baseline_rgb,rgb,gaussian_noise,3,0.4872,False
baseline_rgb,rgb,gaussian_noise,4,0.402,False
baseline_rgb,rgb,gaussian_noise,5,0.3378,False
baseline_rgb,rgb,shot_noise,1,0.8611,False
baseline_rgb,rgb,shot_noise,2,0.7971,False
baseline_rgb,rgb,shot_noise,3,0.6122,False
baseline_rgb,rgb,shot_noise,4,0.5333,False
baseline_rgb,rgb,shot_noise,5,0.4138,False
baseline_rgb,rgb,impulse_noise,1,0.8067,False
baseline_rgb,rgb,impulse_noise,2,0.7034,False
baseline_rgb,rgb,impulse_noise,3,0.6099,False
baseline_rgb,rgb,impulse_noise,4,0.3937,False
baseline_rgb,rgb,impulse_noise,5,0.2364,False
baseline_rgb,rgb,speckle_noise,1,0.8581,False
baseline_rgb,rgb,speckle_noise,2,0.7458,False
baseline_rgb,rgb,speckle_noise,3,0.6788,False
baseline_rgb,rgb,speckle_noise,4,0.5569,False
baseline_rgb,rgb,speckle_noise,5,0.4492,False
baseline_rgb,rgb,defocus_blur,1,0.9007,False
baseline_rgb,rgb,defocus_blur,2,0.8847,False
baseline_rgb,rgb,defocus_blur,3,0.8416,False
baseline_rgb,rgb,defocus_blur,4,0.7733,False
baseline_rgb,rgb,defocus_blur,5,0.6031,False
baseline_rgb,rgb,glass_blur,1,0.641,False
baseline_rgb,rgb,glass_blur,2,0.6568,False
baseline_rgb,rgb,glass_blur,3,0.695,False
baseline_rgb,rgb,glass_blur,4,0.5223,False
baseline_rgb,rgb,glass_blur,5,0.5705,False
baseline_rgb,rgb,motion_blur,1,0.8607,False
baseline_rgb,rgb,motion_blur,2,0.7951,False
baseline_rgb,rgb,motion_blur,3,0.7171,False
baseline_rgb,rgb,motion_blur,4,0.7145,False
baseline_rgb,rgb,motion_blur,5,0.6412,False
baseline_rgb,rgb,zoom_blur,1,0.8371,False
baseline_rgb,rgb,zoom_blur,2,0.8126,False
baseline_rgb,rgb,zoom_blur,3,0.7722,False
baseline_rgb,rgb,zoom_blur,4,0.7323,False
baseline_rgb,rgb,zoom_blur,5,0.6658,False
baseline_rgb,rgb,gaussian_blur,1,0.9004,False
baseline_rgb,rgb,gaussian_blur,2,0.8394,False
baseline_rgb,rgb,gaussian_blur,3,0.7723,False
baseline_rgb,rgb,gaussian_blur,4,0.6955,False
baseline_rgb,rgb,gaussian_blur,5,0.5252,False
baseline_rgb,rgb,snow,1,0.8636,False
baseline_rgb,rgb,snow,2,0.7875,False
baseline_rgb,rgb,snow,3,0.7999,False
baseline_rgb,rgb,snow,4,0.775,False
baseline_rgb,rgb,snow,5,0.754,False
baseline_rgb,rgb,frost,1,0.8742,False
baseline_rgb,rgb,frost,2,0.8353,False
baseline_rgb,rgb,frost,3,0.7633,False
baseline_rgb,rgb,frost,4,0.7547,False
baseline_rgb,rgb,frost,5,0.6616,False
baseline_rgb,rgb,fog,1,0.897,True
baseline_rgb,rgb,fog,2,0.8679,True
baseline_rgb,rgb,fog,3,0.8205,True
baseline_rgb,rgb,fog,4,0.7596,True
baseline_rgb,rgb,fog,5,0.5689,True
baseline_rgb,rgb,brightness,1,0.9031,True
baseline_rgb,rgb,brightness,2,0.8974,True
baseline_rgb,rgb,brightness,3,0.8884,True
baseline_rgb,rgb,brightness,4,0.8783,True
baseline_rgb,rgb,brightness,5,0.8444,True
baseline_rgb,rgb,spatter,1,0.8804,False
baseline_rgb,rgb,spatter,2,0.8274,False
baseline_rgb,rgb,spatter,3,0.7839,False
baseline_rgb,rgb,spatter,4,0.7871,False
baseline_rgb,rgb,spatter,5,0.7002,False
baseline_rgb,rgb,contrast,1,0.8876,True
baseline_rgb,rgb,contrast,2,0.8001,True
baseline_rgb,rgb,contrast,3,0.6979,True
baseline_rgb,rgb,contrast,4,0.4903,True
baseline_rgb,rgb,contrast,5,0.1715,True
baseline_rgb,rgb,elastic_transform,1,0.8544,False
baseline_rgb,rgb,elastic_transform,2,0.8532,False
baseline_rgb,rgb,elastic_transform,3,0.8238,False
baseline_rgb,rgb,elastic_transform,4,0.7906,False
baseline_rgb,rgb,elastic_transform,5,0.7692,False
baseline_rgb,rgb,pixelate,1,0.893,False
baseline_rgb,rgb,pixelate,2,0.8809,False
baseline_rgb,rgb,pixelate,3,0.8681,False
baseline_rgb,rgb,pixelate,4,0.8254,False
baseline_rgb,rgb,pixelate,5,0.7232,False
baseline_rgb,rgb,jpeg_compression,1,0.8686,False
baseline_rgb,rgb,jpeg_compression,2,0.8413,False
baseline_rgb,rgb,jpeg_compression,3,0.8373,False
baseline_rgb,rgb,jpeg_compression,4,0.8227,False
baseline_rgb,rgb,jpeg_compression,5,0.8097,False
baseline_rgb,rgb,saturate,1,0.8743,False
baseline_rgb,rgb,saturate,2,0.8483,False
baseline_rgb,rgb,saturate,3,0.8908,False
baseline_rgb,rgb,saturate,4,0.8448,False
baseline_rgb,rgb,saturate,5,0.7833,False
exp_lab,lab,gaussian_noise,1,0.5725,False
exp_lab,lab,gaussian_noise,2,0.3553,False
exp_lab,lab,gaussian_noise,3,0.2541,False
exp_lab,lab,gaussian_noise,4,0.2242,False
exp_lab,lab,gaussian_noise,5,0.1899,False
exp_lab,lab,shot_noise,1,0.7175,False
exp_lab,lab,shot_noise,2,0.5501,False
exp_lab,lab,shot_noise,3,0.3395,False
exp_lab,lab,shot_noise,4,0.287,False
exp_lab,lab,shot_noise,5,0.2198,False
exp_lab,lab,impulse_noise,1,0.6991,False
exp_lab,lab,impulse_noise,2,0.5391,False
exp_lab,lab,impulse_noise,3,0.4415,False
exp_lab,lab,impulse_noise,4,0.2635,False
exp_lab,lab,impulse_noise,5,0.1652,False
exp_lab,lab,speckle_noise,1,0.7338,False
